path,tree,size_bytes,lines,top_level_symbols,references_count
src/css/accessibility-v12.css,css,1413,3,skip-link,0
src/css/account-page-v13.css,css,708,1,account-page,0
src/css/account-security-v13.css,css,1651,2,v13-security-grid,0
src/css/adaptive-templates-v25.css,css,3357,1,v25-template-dialog,3
src/css/advanced-public-renderer-v32.css,css,512,1,published-vector,2
src/css/ai-assistant-loader-v27.css,css,1681,2,ei-ai-loader-card,2
src/css/ai-assistant-pro.css,css,16519,44,ei-ai-loader-card; ei-ai-top-button; ei-ai-floating; ei-ai-drawer; ei-ai-drawer-head; ei-ai-brand; ei-ai-close; ei-ai-context; ei-ai-target-meta; ei-ai-selection-tools; ei-ai-tabs; ei-ai-drawer-scroll; ei-ai-quick; ei-ai-prompt-label; ei-ai-compose-row,0
src/css/ai-creative-agent-v28.css,css,12441,5,ei-agent-panel; ei-agent-message-actions; ei-agent-feedback,1
src/css/analytics-page-v13.css,css,1635,1,analytics,0
src/css/asset-workflow-v23.css,css,5225,3,v23-asset-browser; v23-asset-load-more,3
src/css/billing-page-v13.css,css,4534,1,billing-page,0
src/css/brand-components-v24.css,css,3998,1,v24-brand-dialog,3
src/css/bundle-account-v15.css,css,215350,909,skip-link; sr-only; host-signup-sheets; host-signup-sheet-list; host-signup-sheet-row; host-signup-sheet-row-head; host-signup-sheet-row-actions; host-signup-claims-region; host-signup-claims-slot; host-signup-claims-table; host-signup-modal-overlay; host-signup-modal; host-polls; host-poll-list; host-poll-row,0
src/css/bundle-admin-v15.css,css,215030,908,skip-link; sr-only; host-signup-sheets; host-signup-sheet-list; host-signup-sheet-row; host-signup-sheet-row-head; host-signup-sheet-row-actions; host-signup-claims-region; host-signup-claims-slot; host-signup-claims-table; host-signup-modal-overlay; host-signup-modal; host-polls; host-poll-list; host-poll-row,0
src/css/bundle-analytics-v15.css,css,215943,910,skip-link; sr-only; host-signup-sheets; host-signup-sheet-list; host-signup-sheet-row; host-signup-sheet-row-head; host-signup-sheet-row-actions; host-signup-claims-region; host-signup-claims-slot; host-signup-claims-table; host-signup-modal-overlay; host-signup-modal; host-polls; host-poll-list; host-poll-row,0
src/css/bundle-billing-v15.css,css,217526,908,skip-link; sr-only; host-signup-sheets; host-signup-sheet-list; host-signup-sheet-row; host-signup-sheet-row-head; host-signup-sheet-row-actions; host-signup-claims-region; host-signup-claims-slot; host-signup-claims-table; host-signup-modal-overlay; host-signup-modal; host-polls; host-poll-list; host-poll-row,0
src/css/bundle-checkin-v15.css,css,76014,109,skip-link; sr-only; checkin-notice; --accent:#9d4555;--ink:#2c2326;--panel:#fff;--line:#e8dfdc; --v22-control-min:44px,0
src/css/bundle-dashboard-v15.css,css,259597,1166,skip-link; sr-only; create-dialog; template-choice-actions; host-signup-sheets; host-signup-sheet-list; host-signup-sheet-row; host-signup-sheet-row-head; host-signup-sheet-row-actions; host-signup-claims-region; host-signup-claims-slot; host-signup-claims-table; host-signup-modal-overlay; host-signup-modal; host-polls,0
